id,title,year,director
344,Manchester by the Sea,2016,Kenneth Lonergan
345,Get Out,2017,Jordan Peele
346,Dunkirk,2017,Christopher Nolan
347,Roma,2018,Alfonso Cuarón
348,Spider-Man: Into the Spider-Verse,2018,Bob Persichetti; Peter Ramsey; Rodney Rothman
349,Parasite,2019,Bong Joon-ho
350,Portrait of a Lady on Fire,2019,Céline Sciamma
351,Another Round,2020,Thomas Vinterberg
352,Nomadland,2020,Chloé Zhao
353,Minari,2020,Lee Isaac Chung
354,The Father,2020,Florian Zeller
355,Dune,2021,Denis Villeneuve
356,Drive My Car,2021,Ryusuke Hamaguchi
357,The Worst Person in the World,2021,Joachim Trier
358,Everything Everywhere All at Once,2022,Dan Kwan; Daniel Scheinert
359,Tár,2022,Todd Field
360,Aftersun,2022,Charlotte Wells
361,The Banshees of Inisherin,2022,Martin McDonagh
362,Oppenheimer,2023,Christopher Nolan
363,Past Lives,2023,Celine Song
364,The Zone of Interest,2023,Jonathan Glazer
365,Dune: Part Two,2024,Denis Villeneuve
